Window_Size,Latency_ms
1,0.24279201170429587
1,0.22237500525079668
1,0.2389579894952476
1,0.2433330228086561
1,0.23320899344980717
1,0.24466600734740496
1,0.23037500795908272
1,0.24812499759718776
1,0.23066598805598915
1,0.2460000105202198
1,0.24116600980050862
1,0.24258397752419114
1,0.24545899941585958
1,0.2377079799771309
1,0.24808401940390468
1,0.23504201089963317
1,0.24816702352836728
2,0.31058400054462254
2,0.32558300881646574
2,0.3230840084142983
2,0.3306659928057343
2,0.324332999298349
2,0.32724998891353607
2,0.32824999652802944
2,0.32304201158694923
2,0.3305420104879886
2,0.33804099075496197
2,0.33629199606366456
2,0.3260000084992498
2,0.5216249846853316
2,0.41737500578165054
2,0.31437500729225576
2,0.2753750013653189
2,0.2639169979374856
2,0.2557080006226897
2,0.2557920233812183
2,0.25579199427738786
2,0.2557499974500388
2,0.25579199427738786
2,0.288833980448544
2,0.25579100474715233
2,0.26608299231156707
2,0.28345800819806755
2,0.2675419964361936
2,0.2720409829635173
2,0.2970420173369348
2,0.2804580144584179
2,0.2705839870031923
2,0.2722090284805745
2,0.28533299337141216
2,0.2724159858189523
2,0.2650420065037906
2,0.28170799487270415
2,0.2839170047082007
2,0.2698750176932663
2,0.2760410134214908
2,0.2852079924196005
2,0.3019580035470426
2,0.3119169850833714
2,0.29458297649398446
2,0.2835420018527657
2,0.29170801280997694
2,0.3449999785516411
2,0.3123750211670995
2,0.2949170011561364
2,0.287750008283183
2,0.28554099844768643
2,0.30949999927543104
2,0.27383302222006023
2,0.29483300750143826
2,0.2954170049633831
2,0.3081670147366822
2,0.3122079942841083
2,0.2969999914057553
2,0.30079198768362403
2,0.3057910071220249
2,0.3161660279147327
2,0.30687497928738594
2,0.30120802694000304
2,0.32608298351988196
2,0.3195420140400529
2,0.31616599881090224
2,0.3189590061083436
2,0.3167919931001961
2,0.30458401306532323
2,0.31408300856128335
2,0.3110830148216337
2,0.3055419947486371
2,0.30083299498073757
2,0.3097080043517053
2,0.272915989626199
2,0.3055830020457506
2,0.3121670160908252
2,0.30779102235101163
2,0.31616698834113777
2,0.3102910122834146
2,0.3081659961026162
2,0.3057910071220249
2,0.3169999981764704
2,0.3160419873893261
2,0.3055419947486371
2,0.2623329928610474
2,0.272917008260265
2,0.31470900285057724
2,0.3056249988730997
2,0.359041994670406
2,0.2682920021470636
2,0.31933299032971263
2,0.262792018475011
2,0.2681250043679029
2,0.31491697882302105
2,0.31608299468643963
2,0.30554100521840155
2,0.305499997921288
2,0.2724159858189523
2,0.31608299468643963
2,0.26474997866898775
2,0.3079579910263419
2,0.31845798366703093
2,0.31412497628480196
2,0.2646660141181201
2,0.2647500077728182
2,0.2727499813772738
2,0.30787501600570977
2,0.30787501600570977
2,0.3082499897573143
2,0.31616698834113777
2,0.3157090104650706
2,0.30787501600570977
2,0.3079590096604079
2,0.2877919760067016
2,0.27120800223201513
2,0.31045801006257534
2,0.3154579899273813
2,0.3160419873893261
2,0.31575001776218414
2,0.3106249787379056
2,0.29958400409668684
2,0.3126660012640059
2,0.3160419873893261
2,0.30795802013017237
2,0.3106250078417361
2,0.2720420015975833
2,0.3191250143572688
2,0.3081669856328517
2,0.3079160233028233
2,0.31049997778609395
2,0.3187500115018338
2,0.31291699269786477
2,0.26950001483783126
2,0.26708299992606044
2,0.2634169941302389
2,0.2880420070141554
2,0.24454100639559329
2,0.2879170060623437
2,0.2833330072462559
2,0.28320797719061375
2,0.2859579981304705
2,0.2867919974960387
2,0.29533301130868495
2,0.2833330072462559
2,0.31254100031219423
2,0.2832910104189068
2,0.29200001154094934
2,0.31154201133176684
2,0.2964999875985086
2,0.25508299586363137
2,0.305499997921288
2,0.31599999056197703
2,0.3016250266227871
2,0.2860829990822822
2,0.28329199994914234
2,0.30362498364411294
2,0.24962497991509736
2,0.2972919901367277
2,0.2833749749697745
2,0.2833339967764914
2,0.24458402185700834
2,0.2833330072462559
2,0.2859999949578196
2,0.2833329781424254
2,0.30095799593254924
2,0.2859579981304705
2,0.30212500132620335
2,0.29041702509857714
2,0.30504100141115487
2,0.3054169937968254
2,0.30037498800083995
2,0.30045901075936854
2,0.31650002347305417
2,0.3147080133203417
2,0.2838340005837381
2,0.2835420018527657
2,0.2859999949578196
2,0.28329098131507635
2,0.30504100141115487
2,0.3054169937968254
2,0.30554202385246754
2,0.2836250059772283
2,0.28337500407360494
2,0.2859999949578196
2,0.2833339967764914
2,0.24449999909847975
2,0.2833339967764914
2,0.28337500407360494
2,0.2832080062944442
2,0.2835000050254166
2,0.24449999909847975
2,0.27054097154177725
2,0.285916990833357
2,0.2869160089176148
2,0.2722080098465085
2,0.28337500407360494
2,0.3002499870490283
2,0.2966670144814998
2,0.3030420048162341
2,0.29458399512805045
2,0.25266699958592653
2,0.3036659909412265
2,0.2895410289056599
2,0.2975410025101155
2,0.2539590059313923
2,0.3107920056208968
2,0.30899999546818435
2,0.292833021376282
2,0.2569170028436929
2,0.28237502556294203
2,0.3005000180564821
2,0.3080420137848705
2,0.3019580035470426
2,0.31525001395493746
2,0.3019590221811086
2,0.3007079940289259
2,0.3013749956153333
2,0.27279098867438734
2,0.30541702290065587
2,0.26016600895673037
2,0.30845898436382413
2,0.31604099785909057
2,0.25820801965892315
2,0.30066698673181236
2,0.3214159805793315
