System,Latency_ms
Static PQ (Pure ADC),0.42995900730602443
AO-PQ (Pure ADC Multi-Epoch),0.27387500449549407
Static PQ (Pure ADC),0.6029159994795918
AO-PQ (Pure ADC Multi-Epoch),0.2922919957200065
Static PQ (Pure ADC),0.25716700474731624
AO-PQ (Pure ADC Multi-Epoch),0.26708299992606044
Static PQ (Pure ADC),0.24691599537618458
AO-PQ (Pure ADC Multi-Epoch),0.25254199863411486
Static PQ (Pure ADC),0.26608299231156707
AO-PQ (Pure ADC Multi-Epoch),0.41983299888670444
Static PQ (Pure ADC),0.5575830000452697
AO-PQ (Pure ADC Multi-Epoch),0.4605409922078252
Static PQ (Pure ADC),0.7477920007659122
AO-PQ (Pure ADC Multi-Epoch),0.33958400308620185
Static PQ (Pure ADC),0.5442910041892901
AO-PQ (Pure ADC Multi-Epoch),0.31520800257567316
Static PQ (Pure ADC),0.5703330098185688
AO-PQ (Pure ADC Multi-Epoch),0.3918330039596185
Static PQ (Pure ADC),0.5853750044479966
AO-PQ (Pure ADC Multi-Epoch),0.3502910112729296
Static PQ (Pure ADC),0.35258400021120906
AO-PQ (Pure ADC Multi-Epoch),0.36991700471844524
Static PQ (Pure ADC),0.27354099438525736
AO-PQ (Pure ADC Multi-Epoch),0.4171659966232255
Static PQ (Pure ADC),0.3219170030206442
AO-PQ (Pure ADC Multi-Epoch),0.3594999870983884
Static PQ (Pure ADC),0.54187499335967
AO-PQ (Pure ADC Multi-Epoch),0.403582991566509
Static PQ (Pure ADC),0.47220800479408354
AO-PQ (Pure ADC Multi-Epoch),0.6251250015338883
Static PQ (Pure ADC),0.2417499927105382
AO-PQ (Pure ADC Multi-Epoch),0.5195839912630618
Static PQ (Pure ADC),0.552541998331435
AO-PQ (Pure ADC Multi-Epoch),0.5170420045033097
Static PQ (Pure ADC),0.3789159964071587
AO-PQ (Pure ADC Multi-Epoch),0.37399999564513564
Static PQ (Pure ADC),0.23112499911803752
AO-PQ (Pure ADC Multi-Epoch),0.39191699761431664
Static PQ (Pure ADC),0.5587920022662729
AO-PQ (Pure ADC Multi-Epoch),0.37933299608994275
Static PQ (Pure ADC),0.5467919982038438
AO-PQ (Pure ADC Multi-Epoch),0.378625001758337
Static PQ (Pure ADC),1.2822080025216565
AO-PQ (Pure ADC Multi-Epoch),0.5372079904191196
Static PQ (Pure ADC),0.9454579994780943
AO-PQ (Pure ADC Multi-Epoch),0.37404200702439994
Static PQ (Pure ADC),0.34495799627620727
AO-PQ (Pure ADC Multi-Epoch),0.4259999986970797
Static PQ (Pure ADC),0.4825409996556118
AO-PQ (Pure ADC Multi-Epoch),0.756499997805804
Static PQ (Pure ADC),0.2588330098660663
AO-PQ (Pure ADC Multi-Epoch),0.3633330052252859
Static PQ (Pure ADC),0.25916700542438775
AO-PQ (Pure ADC Multi-Epoch),0.570417003473267
Static PQ (Pure ADC),0.8387920097447932
AO-PQ (Pure ADC Multi-Epoch),0.38416699680965394
Static PQ (Pure ADC),0.7517089979955927
AO-PQ (Pure ADC Multi-Epoch),0.38287499046418816
Static PQ (Pure ADC),0.2560829889262095
AO-PQ (Pure ADC Multi-Epoch),0.3935830027330667
Static PQ (Pure ADC),0.5227080109762028
AO-PQ (Pure ADC Multi-Epoch),0.33512499067001045
Static PQ (Pure ADC),0.3295420028734952
AO-PQ (Pure ADC Multi-Epoch),0.38050000148359686
Static PQ (Pure ADC),0.541667002835311
AO-PQ (Pure ADC Multi-Epoch),0.4079580103280023
Static PQ (Pure ADC),0.61329199525062
AO-PQ (Pure ADC Multi-Epoch),0.3622920048655942
Static PQ (Pure ADC),0.6676670018350706
AO-PQ (Pure ADC Multi-Epoch),0.36283400550018996
Static PQ (Pure ADC),0.4849580000154674
AO-PQ (Pure ADC Multi-Epoch),0.43683400144800544
Static PQ (Pure ADC),0.26375000015832484
AO-PQ (Pure ADC Multi-Epoch),0.4112089955015108
Static PQ (Pure ADC),0.2777090121526271
AO-PQ (Pure ADC Multi-Epoch),0.4657090030377731
Static PQ (Pure ADC),0.864041008753702
AO-PQ (Pure ADC Multi-Epoch),0.5006249994039536
Static PQ (Pure ADC),0.3362500137882307
AO-PQ (Pure ADC Multi-Epoch),0.37483299092855304
Static PQ (Pure ADC),0.25716700474731624
AO-PQ (Pure ADC Multi-Epoch),0.6249159923754632
Static PQ (Pure ADC),0.45791600132361054
AO-PQ (Pure ADC Multi-Epoch),0.3935830027330667
Static PQ (Pure ADC),0.28900000324938446
AO-PQ (Pure ADC Multi-Epoch),0.4231249913573265
Static PQ (Pure ADC),0.5443340050987899
AO-PQ (Pure ADC Multi-Epoch),0.6655420002061874
Static PQ (Pure ADC),0.890374998562038
AO-PQ (Pure ADC Multi-Epoch),0.47308299690485
Static PQ (Pure ADC),0.6180830096127465
AO-PQ (Pure ADC Multi-Epoch),0.6343330023810267
Static PQ (Pure ADC),0.695167007506825
AO-PQ (Pure ADC Multi-Epoch),0.4089580033905804
Static PQ (Pure ADC),0.3591249987948686
AO-PQ (Pure ADC Multi-Epoch),0.4735410038847476
Static PQ (Pure ADC),0.264208996668458
AO-PQ (Pure ADC Multi-Epoch),0.4370420065242797
Static PQ (Pure ADC),0.2656249998835847
AO-PQ (Pure ADC Multi-Epoch),0.43483299668878317
Static PQ (Pure ADC),0.7913750014267862
AO-PQ (Pure ADC Multi-Epoch),0.4486249963520095
Static PQ (Pure ADC),0.262625006143935
AO-PQ (Pure ADC Multi-Epoch),0.6722499965690076
Static PQ (Pure ADC),0.2507500030333176
AO-PQ (Pure ADC Multi-Epoch),0.4108339926460758
Static PQ (Pure ADC),0.5081659910501912
AO-PQ (Pure ADC Multi-Epoch),0.3796250093728304
Static PQ (Pure ADC),0.8620419976068661
AO-PQ (Pure ADC Multi-Epoch),0.4412499984027818
Static PQ (Pure ADC),0.2670419926289469
AO-PQ (Pure ADC Multi-Epoch),0.43366700992919505
Static PQ (Pure ADC),0.28212499455548823
AO-PQ (Pure ADC Multi-Epoch),0.4210420011077076
Static PQ (Pure ADC),0.2937079989351332
AO-PQ (Pure ADC Multi-Epoch),0.4022920038551092
Static PQ (Pure ADC),0.3246669948566705
AO-PQ (Pure ADC Multi-Epoch),0.39149999793153256
Static PQ (Pure ADC),0.28649999876506627
AO-PQ (Pure ADC Multi-Epoch),0.3276249917689711
Static PQ (Pure ADC),0.7197910017566755
AO-PQ (Pure ADC Multi-Epoch),0.30833299388177693
Static PQ (Pure ADC),0.2629169903229922
AO-PQ (Pure ADC Multi-Epoch),0.47658299445174634
Static PQ (Pure ADC),0.2700000040931627
AO-PQ (Pure ADC Multi-Epoch),0.3392910002730787
Static PQ (Pure ADC),0.3087920049438253
AO-PQ (Pure ADC Multi-Epoch),0.3185419918736443
Static PQ (Pure ADC),0.32716600981075317
AO-PQ (Pure ADC Multi-Epoch),0.2918329992098734
Static PQ (Pure ADC),0.29741600155830383
AO-PQ (Pure ADC Multi-Epoch),0.4412090056575835
Static PQ (Pure ADC),0.3034170076716691
AO-PQ (Pure ADC Multi-Epoch),0.40804099990054965
Static PQ (Pure ADC),0.30395899375434965
AO-PQ (Pure ADC Multi-Epoch),0.4550829908112064
Static PQ (Pure ADC),0.3247499989811331
AO-PQ (Pure ADC Multi-Epoch),0.417333998484537
Static PQ (Pure ADC),0.2872080076485872
AO-PQ (Pure ADC Multi-Epoch),0.7111250015441328
Static PQ (Pure ADC),0.3014579997397959
AO-PQ (Pure ADC Multi-Epoch),0.4504999960772693
Static PQ (Pure ADC),0.29912499303463846
AO-PQ (Pure ADC Multi-Epoch),0.4464999947231263
Static PQ (Pure ADC),0.30758300272282213
AO-PQ (Pure ADC Multi-Epoch),0.5002919933758676
Static PQ (Pure ADC),0.28199999360367656
AO-PQ (Pure ADC Multi-Epoch),0.42283399670850486
Static PQ (Pure ADC),0.27216698799747974
AO-PQ (Pure ADC Multi-Epoch),0.43062499025836587
Static PQ (Pure ADC),0.2564590104157105
AO-PQ (Pure ADC Multi-Epoch),0.3763330023502931
Static PQ (Pure ADC),1.0113330063177273
AO-PQ (Pure ADC Multi-Epoch),0.4625000001396984
Static PQ (Pure ADC),0.27562500326894224
AO-PQ (Pure ADC Multi-Epoch),0.465832999907434
Static PQ (Pure ADC),0.3293750050943345
AO-PQ (Pure ADC Multi-Epoch),0.418958006775938
Static PQ (Pure ADC),0.3108749951934442
AO-PQ (Pure ADC Multi-Epoch),0.42070800554938614
Static PQ (Pure ADC),0.7655000081285834
AO-PQ (Pure ADC Multi-Epoch),0.3607500111684203
Static PQ (Pure ADC),0.26283400075044483
AO-PQ (Pure ADC Multi-Epoch),0.3410420031286776
Static PQ (Pure ADC),0.25924999499693513
AO-PQ (Pure ADC Multi-Epoch),0.3288750012870878
Static PQ (Pure ADC),1.0660419939085841
AO-PQ (Pure ADC Multi-Epoch),0.5169999931240454
Static PQ (Pure ADC),0.28466599178500473
AO-PQ (Pure ADC Multi-Epoch),0.32262501190416515
Static PQ (Pure ADC),0.3625410026870668
AO-PQ (Pure ADC Multi-Epoch),0.36829200689680874
Static PQ (Pure ADC),0.302958011161536
AO-PQ (Pure ADC Multi-Epoch),0.35245799517724663
Static PQ (Pure ADC),0.24991600366774946
AO-PQ (Pure ADC Multi-Epoch),0.32308300433214754
Static PQ (Pure ADC),0.25554200692567974
AO-PQ (Pure ADC Multi-Epoch),0.3100000030826777
Static PQ (Pure ADC),0.33220798650290817
AO-PQ (Pure ADC Multi-Epoch),0.3641669900389388
Static PQ (Pure ADC),0.25904198992066085
AO-PQ (Pure ADC Multi-Epoch),0.3158329927828163
Static PQ (Pure ADC),0.37358299596235156
AO-PQ (Pure ADC Multi-Epoch),0.29483300750143826
Static PQ (Pure ADC),0.29883299430366606
AO-PQ (Pure ADC Multi-Epoch),0.46195799950510263
Static PQ (Pure ADC),0.7022909994702786
AO-PQ (Pure ADC Multi-Epoch),0.3405840107006952
Static PQ (Pure ADC),0.5591249937424436
AO-PQ (Pure ADC Multi-Epoch),0.31037500593811274
Static PQ (Pure ADC),0.3166670067002997
AO-PQ (Pure ADC Multi-Epoch),0.4027090035378933
Static PQ (Pure ADC),0.2962500002468005
AO-PQ (Pure ADC Multi-Epoch),0.4270839999662712
Static PQ (Pure ADC),0.49483400653116405
AO-PQ (Pure ADC Multi-Epoch),0.7895000017015263
Static PQ (Pure ADC),0.3192089934600517
AO-PQ (Pure ADC Multi-Epoch),0.5302920035319403
Static PQ (Pure ADC),0.32258300052490085
AO-PQ (Pure ADC Multi-Epoch),0.4302500019548461
Static PQ (Pure ADC),0.3162500070175156
AO-PQ (Pure ADC Multi-Epoch),0.4374170093797147
Static PQ (Pure ADC),0.37775000964757055
AO-PQ (Pure ADC Multi-Epoch),0.403041995014064
Static PQ (Pure ADC),0.9430409991182387
AO-PQ (Pure ADC Multi-Epoch),0.7894580048741773
Static PQ (Pure ADC),0.618042002315633
AO-PQ (Pure ADC Multi-Epoch),0.5251669936114922
Static PQ (Pure ADC),0.3349170001456514
AO-PQ (Pure ADC Multi-Epoch),0.4210420011077076
Static PQ (Pure ADC),0.9033749956870452
AO-PQ (Pure ADC Multi-Epoch),0.40633299795445055
Static PQ (Pure ADC),0.30808399606030434
AO-PQ (Pure ADC Multi-Epoch),1.032625004881993
Static PQ (Pure ADC),0.3309159947093576
AO-PQ (Pure ADC Multi-Epoch),0.3542079939506948
Static PQ (Pure ADC),0.2954579977085814
AO-PQ (Pure ADC Multi-Epoch),0.34145898825954646
Static PQ (Pure ADC),0.25387499772477895
AO-PQ (Pure ADC Multi-Epoch),0.3610420098993927
Static PQ (Pure ADC),0.2887919981731102
AO-PQ (Pure ADC Multi-Epoch),0.3645839897217229
Static PQ (Pure ADC),0.3206669935025275
AO-PQ (Pure ADC Multi-Epoch),0.3450419899309054
Static PQ (Pure ADC),0.29066699789837
AO-PQ (Pure ADC Multi-Epoch),0.3485000052023679
Static PQ (Pure ADC),0.3064579941565171
AO-PQ (Pure ADC Multi-Epoch),0.3811250062426552
Static PQ (Pure ADC),0.2638750011101365
AO-PQ (Pure ADC Multi-Epoch),0.3280000091763213
Static PQ (Pure ADC),0.31274999491870403
AO-PQ (Pure ADC Multi-Epoch),0.3665420081233606
Static PQ (Pure ADC),0.3039580042241141
AO-PQ (Pure ADC Multi-Epoch),0.3206249966751784
Static PQ (Pure ADC),0.2963330043712631
AO-PQ (Pure ADC Multi-Epoch),0.38316599966492504
Static PQ (Pure ADC),0.3425839968258515
AO-PQ (Pure ADC Multi-Epoch),0.5262920021777973
Static PQ (Pure ADC),0.29195800016168505
AO-PQ (Pure ADC Multi-Epoch),0.32370799453929067
Static PQ (Pure ADC),0.27949998911935836
AO-PQ (Pure ADC Multi-Epoch),0.603542008320801
Static PQ (Pure ADC),0.28366700280457735
AO-PQ (Pure ADC Multi-Epoch),0.3301249962532893
Static PQ (Pure ADC),0.26899999647866935
AO-PQ (Pure ADC Multi-Epoch),0.45404200500342995
Static PQ (Pure ADC),0.617666999460198
AO-PQ (Pure ADC Multi-Epoch),0.913042007596232
Static PQ (Pure ADC),0.9993330022552982
AO-PQ (Pure ADC Multi-Epoch),0.34283399872947484
Static PQ (Pure ADC),0.3620830102590844
AO-PQ (Pure ADC Multi-Epoch),0.45954198867548257
Static PQ (Pure ADC),0.8740419871173799
AO-PQ (Pure ADC Multi-Epoch),0.39775000186637044
Static PQ (Pure ADC),0.3602090000640601
AO-PQ (Pure ADC Multi-Epoch),0.4306250048102811
Static PQ (Pure ADC),0.3088749945163727
